,comment,afinn_score
1207,"I really like this app cuz you can make videos with your friends relatives or somebody like a strangeryes you could also get some mean comments down there and yeah but it's really amazing really fun there's some really amazing filters like this game could make your day is like you could danceshow like cool stuff to amazing stuff the tracks to a lot of stuff like random stuff really fun and yes it's really fun guys IHOP location I love this game is goodbye angels, (â—•á´¥â—•)Ê•ã£â€¢á´¥â€¢Ê”ã£",44.0
340,"It is amazing I just wish you would not have to use your email or phone number I wish you could just make your own like write your user name and make up a password but over all it takes up basically my whole day there is nothing bad about it, it Is amazing. I know like 50 dances. IT IS AMAZING! I don't understand how it got a 4.5 star review it is the BEST app ever I LOVE LOVE LOVE LOVE LOVE LOVE LOVE IT!!",39.0
1127,I just love it im so addicted. U can make some fun vids and I love the why u can make 3 accounts on one device it is so good and the edit on it it is just fantastic oh and u can make some nice friends in the text page and.do a lot more u can share vids wich I love and there are so many talented people and some funny people too I really recommend this app my life is so much better and that u can just let out the outer u love it hope u install have funðŸ˜‚â¤ðŸ˜œðŸ‘‡,37.0
586,I like this app because theirs people enjoying their day like having fun and stuff like that. This app makes my day because I really don't have anything to do at home so I get on the app and there's a lot of funny things and scientific things and stuff like that it's just an app that's like for entertainment and funny. I like the fact that people like posting funny stuff but sometimes sad stuff like freestyling to Jocelyn Flores by XXXTENTACION and stuff like that but yeah it makes my day!!,35.0
931,"Tik tok is a very nice app i love but my. Videos are slowing down and I thank you guys for making tik tok all my siblings are on tik tok because it is wonderful. My family likes it so much please help me get better quality of the videos and have been trying and trying to figure out if I can get a better quality so my phone will be working properly ,the owner of this is the best â™¥ï¸â™¥ï¸ I love him he's the real 2020 president candidate, I will see if you already helped me, I love you allðŸ˜ðŸ˜ðŸ˜ðŸ˜",34.0
598,"Wow this is the wow app i like it i love it there are funny videos viral videos and even there are hacks everything you search it will appear just before you close your eyes if your day is boring because of the qorenteen when you open the app it will make your day and i will give it a BILLION stars you can recordðŸŽ¦ðŸ¤³ðŸ»and do anything you want this app is the only app i was waiting for this app is wow,amazing great job to who creqted this....The update is amazingðŸ˜‡I can be verified<3 amazing app",33.0
877,it is fun using it like we can make our own video and people commet like and that is so much fun its like theres cute ones funny one and more creative ones fun ones sad one but not bad at all its good pics videos gifs and more you can put stikers ya its soooooooooooo funnnnnnnnnn ya its the best app like who dont like or watch TikTok????? it soooooooooooooooooo fuuuuuuuuunnnnnnnnnnnnn :3 <3 that a heart yaaa so i will make a tiktok video I think mabey I will or I wont ya soooo byeeeeeeeeeee <3,33.0
765,"Its so fun scrolling and watching new videos and trying new dances and trends it's somewhere you can just be creative and I think it's fun and I get to learn dances and even new trends I love how there so many things you can do like dance,jelly fruit's, zodiac signs and many more I love this app it's so fun and I get to explore each trend it's a fun app and you can be creative!!!! :)<3",33.0
1254,This app is amazing I loved it helps me a lot with anxiety and it's really good for me and I just think that you guys should try it like overall it's been a really really good and you are just dried out and read these reviews before you do it all so yeah and this is really good so we'll try this out and have a fun time doing it you can do funny that you can watch people do it you can't have people just look real life on this and it's really fun.,31.0
815,Ok good app but it is not supporting us it is supporting to mental people and I am using Tiktok from 2018 and it is 2020 then also I can't be there also and I want something improve in Tiktok so I think it will be but it is good app to improve our self it is check out our talent but why sometime I like it ok but I don't like in Tik Tok are there are not feeling good for us call for money people it is good after first it's follow all over India rules ok so it is good map so thank youðŸ˜ðŸ˜€ðŸ˜ðŸ˜ðŸ˜ðŸ™ƒ,31.0
